session_id,vehicle_model,battery_capacity_kwh,rated_range_km,battery_age_months,battery_degradation_pct,charger_type,charger_power_kw,session_start,start_soc_pct,target_soc_pct,energy_added_kwh,charge_duration_hrs,ambient_temp_c,driving_style,estimated_range_km,actual_range_km
171,Tesla Model 3,57.5,513,24,3.6,Level 1 (Home),2.3,2026-02-05T20:45,28.7,82.7,31.05,13.5,34.9,Eco,421.4,450.9
172,BYD Atto 3,60.5,521,13,1.95,Level 2 (AC Public),7.4,2026-02-06T03:10,26.2,82.0,33.76,4.56,19.1,Eco,426.5,456.4
173,MG ZS EV,50.3,461,34,5.1,Level 2 (AC Public),7.4,2026-02-06T10:35,11.8,87.0,37.83,5.11,18.7,Aggressive,390.9,344.0
174,Hyundai Kona Electric,39.2,452,6,0.9,Level 1 (Home),2.3,2026-02-06T18:24,36.7,81.8,17.68,7.69,38.5,Normal,370.4,370.4
175,MG ZS EV,50.3,461,16,2.4,Level 2 (AC Public),7.4,2026-02-07T02:58,41.0,98.3,28.82,3.89,20.4,Normal,456.0,456.0
176,Tata Nexon EV,40.5,312,10,1.5,Level 2 (AC Public),7.4,2026-02-07T07:03,17.9,83.0,26.37,3.56,8.7,Normal,249.5,249.5
177,Hyundai Kona Electric,39.2,452,6,0.9,Level 2 (AC Public),7.4,2026-02-07T09:09,34.4,78.5,17.29,2.34,31.1,Eco,355.9,380.8
178,MG ZS EV,50.3,461,16,2.4,Level 1 (Home),2.3,2026-02-07T10:18,29.2,93.2,32.19,14.0,24.5,Normal,439.9,439.9
179,Tata Nexon EV,40.5,312,39,5.85,Level 1 (Home),2.3,2026-02-07T13:43,24.7,94.8,28.39,12.34,21.9,Normal,302.8,302.8
180,BYD Atto 3,60.5,521,37,5.55,DC Fast Charger,50.0,2026-02-07T19:00,18.5,78.6,36.36,0.73,20.9,Eco,406.7,435.2
181,Tata Nexon EV,40.5,312,36,5.4,DC Fast Charger,50.0,2026-02-07T23:20,44.1,76.7,13.2,0.26,24.5,Aggressive,239.2,210.5
182,Tesla Model 3,57.5,513,23,3.45,Level 1 (Home),2.3,2026-02-08T00:30,32.2,99.5,38.7,16.83,14.4,Eco,524.4,561.1
183,Tata Nexon EV,40.5,312,12,1.8,DC Fast Charger,50.0,2026-02-08T03:26,35.7,83.3,19.28,0.39,6.6,Aggressive,250.8,220.7
184,Tesla Model 3,57.5,513,3,0.45,DC Fast Charger,50.0,2026-02-08T11:04,26.7,79.6,30.42,0.61,10.0,Normal,395.3,395.3
185,Tata Nexon EV,40.5,312,31,4.65,Level 1 (Home),2.3,2026-02-08T14:25,41.0,82.9,16.97,7.38,16.5,Aggressive,260.2,229.0
186,MG ZS EV,50.3,461,24,3.6,Level 2 (AC Public),7.4,2026-02-08T17:27,22.5,94.5,36.22,4.89,37.0,Eco,433.5,463.8
187,Tesla Model 3,57.5,513,32,4.8,DC Fast Charger,50.0,2026-02-08T21:56,25.4,98.9,42.26,0.85,17.5,Aggressive,517.1,455.0
188,BYD Atto 3,60.5,521,35,5.25,Level 2 (AC Public),7.4,2026-02-09T01:53,38.0,93.2,33.4,4.51,7.9,Eco,469.4,502.3
189,Tata Nexon EV,40.5,312,45,6.75,Level 1 (Home),2.3,2026-02-09T05:14,21.5,82.4,24.66,10.72,21.5,Eco,253.8,271.6
190,Tesla Model 3,57.5,513,4,0.6,Level 1 (Home),2.3,2026-02-09T09:47,35.4,97.8,35.88,15.6,27.7,Aggressive,503.7,443.3
191,Tesla Model 3,57.5,513,44,6.6,Level 2 (AC Public),7.4,2026-02-09T11:23,28.0,93.7,37.78,5.11,10.9,Aggressive,486.4,428.0
192,Tata Nexon EV,40.5,312,3,0.45,Level 1 (Home),2.3,2026-02-09T18:38,12.4,94.5,33.25,14.46,18.6,Aggressive,296.9,261.3
193,Tesla Model 3,57.5,513,21,3.15,Level 2 (AC Public),7.4,2026-02-10T00:28,23.0,94.1,40.88,5.52,26.2,Normal,481.9,481.9
194,MG ZS EV,50.3,461,17,2.55,Level 1 (Home),2.3,2026-02-10T06:40,10.9,79.7,34.61,15.05,24.2,Eco,358.5,383.6
195,Tesla Model 3,57.5,513,9,1.35,Level 1 (Home),2.3,2026-02-10T13:52,44.9,82.1,21.39,9.3,38.9,Eco,412.8,441.7
196,Tesla Model 3,57.5,513,43,6.45,Level 1 (Home),2.3,2026-02-10T21:41,41.5,86.1,25.64,11.15,8.2,Normal,425.5,425.5
197,Tata Nexon EV,40.5,312,41,6.15,DC Fast Charger,50.0,2026-02-11T01:28,29.0,97.3,27.66,0.55,36.5,Aggressive,295.8,260.3
198,Hyundai Kona Electric,39.2,452,2,0.3,DC Fast Charger,50.0,2026-02-11T03:52,17.8,99.6,32.07,0.64,34.3,Normal,454.2,454.2
199,BYD Atto 3,60.5,521,20,3.0,Level 2 (AC Public),7.4,2026-02-11T07:45,26.4,99.6,44.29,5.99,9.8,Eco,497.1,531.9
200,Tesla Model 3,57.5,513,42,6.3,DC Fast Charger,50.0,2026-02-11T11:56,24.4,85.2,34.96,0.7,26.3,Normal,447.1,447.1
201,Tesla Model 3,57.5,513,12,1.8,DC Fast Charger,50.0,2026-02-11T13:32,28.1,78.2,28.81,0.58,35.7,Aggressive,395.6,348.1
202,MG ZS EV,50.3,461,11,1.65,Level 2 (AC Public),7.4,2026-02-11T20:40,27.6,96.7,34.76,4.7,35.8,Normal,440.3,440.3
203,MG ZS EV,50.3,461,41,6.15,Level 2 (AC Public),7.4,2026-02-11T22:58,43.2,88.0,22.53,3.04,15.5,Eco,416.2,445.3
204,Hyundai Kona Electric,39.2,452,38,5.7,Level 1 (Home),2.3,2026-02-12T07:37,31.9,90.4,22.93,9.97,8.5,Aggressive,395.0,347.6
205,BYD Atto 3,60.5,521,6,0.9,DC Fast Charger,50.0,2026-02-12T09:51,41.6,83.4,25.29,0.51,39.2,Eco,437.1,467.7
206,BYD Atto 3,60.5,521,41,6.15,Level 2 (AC Public),7.4,2026-02-12T11:13,32.8,94.2,37.15,5.02,20.4,Normal,486.7,486.7
207,Hyundai Kona Electric,39.2,452,4,0.6,Level 2 (AC Public),7.4,2026-02-12T16:35,18.6,95.2,30.03,4.06,20.0,Aggressive,431.5,379.7
208,Tesla Model 3,57.5,513,47,7.05,Level 2 (AC Public),7.4,2026-02-12T18:51,26.3,83.5,32.89,4.44,10.3,Normal,411.7,411.7
209,Hyundai Kona Electric,39.2,452,8,1.2,Level 2 (AC Public),7.4,2026-02-13T03:45,14.6,84.3,27.32,3.69,25.8,Normal,385.2,385.2
210,MG ZS EV,50.3,461,11,1.65,Level 1 (Home),2.3,2026-02-13T06:53,13.4,82.3,34.66,15.07,19.2,Eco,376.8,403.2
211,BYD Atto 3,60.5,521,20,3.0,DC Fast Charger,50.0,2026-02-13T14:24,20.9,94.1,44.29,0.89,23.4,Normal,489.8,489.8
212,Tata Nexon EV,40.5,312,19,2.85,Level 2 (AC Public),7.4,2026-02-13T19:23,27.7,99.2,28.96,3.91,13.0,Eco,309.8,331.5
213,Tesla Model 3,57.5,513,24,3.6,Level 2 (AC Public),7.4,2026-02-14T00:20,28.8,96.2,38.76,5.24,20.9,Aggressive,482.4,424.5
214,Hyundai Kona Electric,39.2,452,25,3.75,Level 1 (Home),2.3,2026-02-14T07:27,24.0,89.3,25.6,11.13,12.2,Eco,397.9,425.8
215,BYD Atto 3,60.5,521,26,3.9,Level 2 (AC Public),7.4,2026-02-14T12:29,38.9,90.6,31.28,4.23,27.6,Eco,482.8,516.6
216,Hyundai Kona Electric,39.2,452,3,0.45,DC Fast Charger,50.0,2026-02-14T16:28,42.9,93.9,19.99,0.4,12.4,Aggressive,419.8,369.4
217,MG ZS EV,50.3,461,9,1.35,DC Fast Charger,50.0,2026-02-14T17:50,21.7,86.8,32.75,0.66,21.9,Aggressive,397.6,349.9
218,BYD Atto 3,60.5,521,33,4.95,Level 2 (AC Public),7.4,2026-02-14T21:27,15.7,99.8,50.88,6.88,32.4,Normal,525.7,525.7
219,BYD Atto 3,60.5,521,8,1.2,Level 2 (AC Public),7.4,2026-02-15T05:05,34.8,82.5,28.86,3.9,35.2,Aggressive,429.1,377.6
220,BYD Atto 3,60.5,521,17,2.55,Level 2 (AC Public),7.4,2026-02-15T13:55,37.9,93.1,33.4,4.51,30.5,Normal,499.2,499.2
221,BYD Atto 3,60.5,521,40,6.0,DC Fast Charger,50.0,2026-02-15T22:39,18.0,76.3,35.27,0.71,22.8,Aggressive,396.9,349.3
222,Tesla Model 3,57.5,513,2,0.3,Level 1 (Home),2.3,2026-02-16T05:51,38.8,81.1,24.32,10.57,26.2,Eco,411.1,439.9
223,Tesla Model 3,57.5,513,48,7.2,Level 1 (Home),2.3,2026-02-16T10:23,24.5,80.1,31.97,13.9,23.6,Normal,408.2,408.2
224,MG ZS EV,50.3,461,12,1.8,DC Fast Charger,50.0,2026-02-16T17:12,17.3,83.1,33.1,0.66,29.5,Normal,382.5,382.5
225,BYD Atto 3,60.5,521,17,2.55,Level 2 (AC Public),7.4,2026-02-16T21:52,29.1,91.9,37.99,5.13,37.1,Aggressive,466.6,410.6
226,MG ZS EV,50.3,461,46,6.9,Level 1 (Home),2.3,2026-02-17T03:45,19.8,82.5,31.54,13.71,39.8,Normal,361.4,361.4
227,Tesla Model 3,57.5,513,8,1.2,Level 2 (AC Public),7.4,2026-02-17T06:25,26.8,89.0,35.77,4.83,39.6,Normal,440.7,440.7
228,BYD Atto 3,60.5,521,19,2.85,Level 2 (AC Public),7.4,2026-02-17T12:00,41.4,84.9,26.32,3.56,17.8,Eco,435.2,465.7
229,Tata Nexon EV,40.5,312,18,2.7,Level 2 (AC Public),7.4,2026-02-17T13:20,42.3,91.4,19.89,2.69,32.7,Aggressive,289.5,254.8
230,Hyundai Kona Electric,39.2,452,15,2.25,Level 1 (Home),2.3,2026-02-17T21:48,13.8,93.5,31.24,13.58,13.9,Aggressive,432.4,380.5
231,Tata Nexon EV,40.5,312,36,5.4,Level 1 (Home),2.3,2026-02-18T03:54,24.5,92.9,27.7,12.04,8.7,Eco,278.3,297.8
232,MG ZS EV,50.3,461,21,3.15,Level 2 (AC Public),7.4,2026-02-18T12:44,32.9,97.0,32.24,4.36,22.6,Normal,443.2,443.2
233,Tata Nexon EV,40.5,312,12,1.8,Level 1 (Home),2.3,2026-02-18T16:01,32.8,80.8,19.44,8.45,32.3,Eco,246.7,264.0
234,MG ZS EV,50.3,461,3,0.45,Level 1 (Home),2.3,2026-02-18T20:21,44.9,84.9,20.12,8.75,23.3,Normal,381.4,381.4
235,BYD Atto 3,60.5,521,34,5.1,DC Fast Charger,50.0,2026-02-18T21:26,13.8,99.6,51.91,1.04,15.5,Aggressive,504.1,443.6
236,MG ZS EV,50.3,461,42,6.3,DC Fast Charger,50.0,2026-02-19T02:23,26.4,79.8,26.86,0.54,9.2,Normal,366.8,366.8
237,MG ZS EV,50.3,461,40,6.0,Level 1 (Home),2.3,2026-02-19T05:26,35.8,94.8,29.68,12.9,26.0,Eco,430.4,460.5
238,Tesla Model 3,57.5,513,31,4.65,Level 2 (AC Public),7.4,2026-02-19T13:17,28.0,77.2,28.29,3.82,29.8,Eco,403.7,432.0
239,MG ZS EV,50.3,461,38,5.7,Level 1 (Home),2.3,2026-02-19T16:53,19.1,80.9,31.09,13.52,32.9,Normal,362.1,362.1
240,Tata Nexon EV,40.5,312,11,1.65,Level 2 (AC Public),7.4,2026-02-19T23:40,32.9,92.3,24.06,3.25,7.3,Normal,285.7,285.7
241,BYD Atto 3,60.5,521,40,6.0,DC Fast Charger,50.0,2026-02-20T03:54,36.9,92.3,33.52,0.67,28.6,Normal,468.5,468.5
242,MG ZS EV,50.3,461,31,4.65,Level 2 (AC Public),7.4,2026-02-20T06:40,15.4,93.7,39.38,5.32,27.4,Aggressive,434.1,382.0
243,MG ZS EV,50.3,461,46,6.9,Level 1 (Home),2.3,2026-02-20T13:44,33.8,89.9,28.22,12.27,34.1,Aggressive,411.2,361.9
244,BYD Atto 3,60.5,521,11,1.65,Level 1 (Home),2.3,2026-02-20T17:37,12.2,88.7,46.28,20.12,23.7,Eco,460.1,492.3
245,BYD Atto 3,60.5,521,29,4.35,Level 2 (AC Public),7.4,2026-02-20T21:15,14.1,80.1,39.93,5.4,26.6,Aggressive,427.8,376.5
246,Tesla Model 3,57.5,513,47,7.05,Level 1 (Home),2.3,2026-02-21T04:43,28.0,86.4,33.58,14.6,7.1,Normal,430.6,430.6
247,Hyundai Kona Electric,39.2,452,35,5.25,Level 1 (Home),2.3,2026-02-21T05:54,36.1,89.5,20.93,9.1,6.7,Eco,395.1,422.8
248,Tata Nexon EV,40.5,312,42,6.3,Level 2 (AC Public),7.4,2026-02-21T14:51,11.1,85.2,30.01,4.06,33.5,Aggressive,260.5,229.2
249,Hyundai Kona Electric,39.2,452,35,5.25,Level 2 (AC Public),7.4,2026-02-21T23:33,25.7,97.9,28.3,3.82,19.0,Aggressive,453.9,399.4
250,Hyundai Kona Electric,39.2,452,1,0.15,Level 1 (Home),2.3,2026-02-22T01:37,16.2,88.4,28.3,12.3,24.6,Eco,394.2,421.8
251,Hyundai Kona Electric,39.2,452,30,4.5,Level 2 (AC Public),7.4,2026-02-22T08:40,33.6,88.6,21.56,2.91,24.7,Eco,392.9,420.4
252,Hyundai Kona Electric,39.2,452,40,6.0,Level 1 (Home),2.3,2026-02-22T12:26,42.8,93.1,19.72,8.57,9.2,Normal,403.9,403.9
253,Tata Nexon EV,40.5,312,4,0.6,Level 1 (Home),2.3,2026-02-22T19:34,17.2,77.5,24.42,10.62,6.2,Aggressive,232.3,204.4
254,Tata Nexon EV,40.5,312,33,4.95,Level 2 (AC Public),7.4,2026-02-22T22:31,25.4,88.5,25.56,3.45,32.9,Eco,270.9,289.9
255,MG ZS EV,50.3,461,20,3.0,DC Fast Charger,50.0,2026-02-23T07:28,30.2,89.4,29.78,0.6,33.6,Eco,402.5,430.7
256,BYD Atto 3,60.5,521,12,1.8,Level 1 (Home),2.3,2026-02-23T15:29,24.5,81.9,34.73,15.1,25.6,Aggressive,424.4,373.5
257,Tesla Model 3,57.5,513,21,3.15,DC Fast Charger,50.0,2026-02-23T21:29,27.3,99.3,41.4,0.83,39.8,Aggressive,492.8,433.7
258,Tesla Model 3,57.5,513,20,3.0,Level 1 (Home),2.3,2026-02-24T04:04,20.5,79.6,33.98,14.77,24.9,Eco,414.8,443.8
259,MG ZS EV,50.3,461,25,3.75,Level 2 (AC Public),7.4,2026-02-24T11:55,42.0,89.1,23.69,3.2,40.8,Eco,398.9,426.8
260,MG ZS EV,50.3,461,13,1.95,Level 2 (AC Public),7.4,2026-02-24T14:52,32.6,98.1,32.95,4.45,36.3,Aggressive,457.5,402.6
261,Tesla Model 3,57.5,513,47,7.05,DC Fast Charger,50.0,2026-02-24T16:17,31.2,76.0,25.76,0.52,7.7,Aggressive,372.2,327.5
262,MG ZS EV,50.3,461,13,1.95,Level 2 (AC Public),7.4,2026-02-24T22:39,17.3,97.7,40.44,5.46,16.2,Eco,439.6,470.4
263,Tata Nexon EV,40.5,312,26,3.9,DC Fast Charger,50.0,2026-02-25T07:21,45.0,87.0,17.01,0.34,14.0,Eco,268.7,287.5
264,BYD Atto 3,60.5,521,24,3.6,Level 2 (AC Public),7.4,2026-02-25T15:40,37.1,84.5,28.68,3.88,24.7,Normal,444.0,444.0
265,Tesla Model 3,57.5,513,24,3.6,Level 2 (AC Public),7.4,2026-02-25T20:46,13.5,99.5,49.45,6.68,22.4,Eco,500.2,535.2
266,Tata Nexon EV,40.5,312,38,5.7,DC Fast Charger,50.0,2026-02-26T00:16,40.2,93.5,21.59,0.43,5.6,Aggressive,280.3,246.7
267,Hyundai Kona Electric,39.2,452,42,6.3,Level 1 (Home),2.3,2026-02-26T07:02,16.9,80.8,25.05,10.89,26.1,Aggressive,370.9,326.4
268,Hyundai Kona Electric,39.2,452,11,1.65,Level 2 (AC Public),7.4,2026-02-26T15:35,36.7,87.2,19.8,2.68,31.8,Normal,388.6,388.6
269,Hyundai Kona Electric,39.2,452,4,0.6,Level 1 (Home),2.3,2026-02-26T22:26,14.9,88.7,28.93,12.58,11.8,Aggressive,386.9,340.5
270,Tata Nexon EV,40.5,312,46,6.9,DC Fast Charger,50.0,2026-02-27T03:38,11.7,75.2,25.72,0.51,10.1,Eco,228.4,244.4
271,MG ZS EV,50.3,461,43,6.45,DC Fast Charger,50.0,2026-02-27T05:50,26.0,76.5,25.4,0.51,28.6,Normal,343.7,343.7
272,Tata Nexon EV,40.5,312,2,0.3,DC Fast Charger,50.0,2026-02-27T10:45,29.3,75.3,18.63,0.37,24.6,Normal,238.2,238.2
273,Tesla Model 3,57.5,513,17,2.55,Level 1 (Home),2.3,2026-02-27T15:46,13.7,77.4,36.63,15.93,10.5,Aggressive,397.3,349.6
274,Hyundai Kona Electric,39.2,452,15,2.25,Level 2 (AC Public),7.4,2026-02-27T23:17,12.8,99.0,33.79,4.57,22.0,Aggressive,454.5,400.0
275,Tata Nexon EV,40.5,312,36,5.4,DC Fast Charger,50.0,2026-02-28T02:41,44.7,91.2,18.83,0.38,6.2,Normal,276.4,276.4
276,Tata Nexon EV,40.5,312,7,1.05,DC Fast Charger,50.0,2026-02-28T07:29,16.0,87.5,28.96,0.58,21.1,Aggressive,268.4,236.2
277,Tata Nexon EV,40.5,312,5,0.75,Level 1 (Home),2.3,2026-02-28T15:39,17.4,96.7,32.12,13.97,37.8,Eco,297.0,317.8
278,Hyundai Kona Electric,39.2,452,38,5.7,DC Fast Charger,50.0,2026-02-28T22:07,29.7,75.8,18.07,0.36,39.4,Eco,338.9,362.6
279,Tesla Model 3,57.5,513,35,5.25,Level 1 (Home),2.3,2026-03-01T00:17,20.5,89.1,39.44,17.15,26.0,Aggressive,447.7,394.0
280,MG ZS EV,50.3,461,15,2.25,DC Fast Charger,50.0,2026-03-01T03:56,35.3,87.5,26.26,0.53,41.0,Normal,403.3,403.3
281,Hyundai Kona Electric,39.2,452,41,6.15,DC Fast Charger,50.0,2026-03-01T11:38,36.9,98.9,24.3,0.49,19.7,Eco,439.8,470.6
282,Tesla Model 3,57.5,513,43,6.45,Level 2 (AC Public),7.4,2026-03-01T14:50,18.0,88.8,40.71,5.5,18.9,Aggressive,464.3,408.6
283,BYD Atto 3,60.5,521,41,6.15,Level 2 (AC Public),7.4,2026-03-01T18:52,37.9,92.8,33.21,4.49,8.0,Aggressive,480.0,422.4
284,Tesla Model 3,57.5,513,7,1.05,Level 2 (AC Public),7.4,2026-03-01T21:06,22.6,77.3,31.45,4.25,39.9,Normal,388.6,388.6
285,MG ZS EV,50.3,461,36,5.4,Level 2 (AC Public),7.4,2026-03-01T23:10,25.7,88.9,31.79,4.3,20.1,Normal,421.8,421.8
286,BYD Atto 3,60.5,521,36,5.4,Level 2 (AC Public),7.4,2026-03-02T00:54,40.2,75.3,21.24,2.87,20.3,Aggressive,385.8,339.5
287,MG ZS EV,50.3,461,32,4.8,DC Fast Charger,50.0,2026-03-02T09:09,28.2,92.1,32.14,0.64,11.3,Normal,424.2,424.2
288,MG ZS EV,50.3,461,47,7.05,Level 2 (AC Public),7.4,2026-03-02T11:19,19.7,82.5,31.59,4.27,34.0,Eco,381.2,407.9
289,BYD Atto 3,60.5,521,40,6.0,DC Fast Charger,50.0,2026-03-02T17:19,16.8,77.7,36.84,0.74,16.3,Normal,394.2,394.2
290,Hyundai Kona Electric,39.2,452,20,3.0,Level 2 (AC Public),7.4,2026-03-02T21:21,21.7,95.4,28.89,3.9,36.8,Eco,413.5,442.4
291,MG ZS EV,50.3,461,41,6.15,Level 2 (AC Public),7.4,2026-03-03T00:55,21.0,99.1,39.28,5.31,40.8,Aggressive,450.6,396.5
292,BYD Atto 3,60.5,521,13,1.95,Level 1 (Home),2.3,2026-03-03T05:51,21.4,82.0,36.66,15.94,34.1,Aggressive,428.0,376.6
293,BYD Atto 3,60.5,521,14,2.1,Level 1 (Home),2.3,2026-03-03T11:35,33.9,88.8,33.21,14.44,40.3,Aggressive,452.4,398.1
294,Hyundai Kona Electric,39.2,452,41,6.15,DC Fast Charger,50.0,2026-03-03T16:06,12.4,96.2,32.85,0.66,34.4,Eco,427.3,457.2
295,Hyundai Kona Electric,39.2,452,31,4.65,DC Fast Charger,50.0,2026-03-03T19:31,15.4,85.6,27.52,0.55,18.9,Aggressive,388.1,341.5
296,BYD Atto 3,60.5,521,45,6.75,DC Fast Charger,50.0,2026-03-04T01:11,42.3,96.7,32.91,0.66,20.5,Normal,518.2,518.2
297,BYD Atto 3,60.5,521,11,1.65,DC Fast Charger,50.0,2026-03-04T09:20,32.3,77.1,27.1,0.54,33.5,Normal,396.2,396.2
298,Tata Nexon EV,40.5,312,7,1.05,DC Fast Charger,50.0,2026-03-04T15:31,44.4,91.9,19.24,0.38,19.8,Normal,282.4,282.4
299,Hyundai Kona Electric,39.2,452,24,3.6,Level 1 (Home),2.3,2026-03-04T16:36,27.9,88.0,23.56,10.24,26.5,Normal,396.0,396.0
300,BYD Atto 3,60.5,521,6,0.9,DC Fast Charger,50.0,2026-03-04T20:44,27.5,83.6,33.94,0.68,5.9,Normal,430.1,430.1
301,MG ZS EV,50.3,461,7,1.05,Level 2 (AC Public),7.4,2026-03-04T22:39,20.9,86.4,32.95,4.45,12.7,Normal,395.1,395.1
302,Tesla Model 3,57.5,513,42,6.3,Level 2 (AC Public),7.4,2026-03-05T03:10,12.4,76.1,36.63,4.95,31.3,Normal,401.9,401.9
303,MG ZS EV,50.3,461,15,2.25,DC Fast Charger,50.0,2026-03-05T05:02,18.5,79.4,30.63,0.61,10.9,Normal,358.9,358.9
304,MG ZS EV,50.3,461,29,4.35,Level 1 (Home),2.3,2026-03-05T12:25,32.4,85.8,26.86,11.68,6.1,Eco,379.4,406.0
305,Tesla Model 3,57.5,513,37,5.55,Level 1 (Home),2.3,2026-03-05T18:09,34.7,80.1,26.1,11.35,32.8,Eco,402.5,430.7
306,BYD Atto 3,60.5,521,34,5.1,Level 1 (Home),2.3,2026-03-05T19:58,22.8,79.9,34.55,15.02,9.2,Normal,402.8,402.8
307,Hyundai Kona Electric,39.2,452,40,6.0,DC Fast Charger,50.0,2026-03-06T04:42,23.6,84.8,23.99,0.48,9.2,Normal,377.9,377.9
308,Hyundai Kona Electric,39.2,452,12,1.8,DC Fast Charger,50.0,2026-03-06T07:05,30.7,91.8,23.95,0.48,16.6,Eco,421.5,451.0
309,MG ZS EV,50.3,461,41,6.15,DC Fast Charger,50.0,2026-03-06T11:04,23.6,89.9,33.35,0.67,26.3,Normal,416.4,416.4
310,MG ZS EV,50.3,461,4,0.6,DC Fast Charger,50.0,2026-03-06T16:22,15.8,82.2,33.4,0.67,11.9,Aggressive,366.9,322.9
311,Tata Nexon EV,40.5,312,27,4.05,Level 2 (AC Public),7.4,2026-03-07T00:17,14.8,95.4,32.64,4.41,40.7,Normal,290.0,290.0
312,Tesla Model 3,57.5,513,19,2.85,DC Fast Charger,50.0,2026-03-07T06:46,39.4,87.2,27.49,0.55,8.1,Eco,447.6,478.9
313,MG ZS EV,50.3,461,36,5.4,DC Fast Charger,50.0,2026-03-07T08:02,20.1,94.5,37.42,0.75,25.9,Normal,428.6,428.6
314,BYD Atto 3,60.5,521,47,7.05,Level 1 (Home),2.3,2026-03-07T13:07,19.4,88.6,41.87,18.2,41.7,Eco,447.5,478.8
315,MG ZS EV,50.3,461,29,4.35,Level 2 (AC Public),7.4,2026-03-07T17:39,13.6,95.8,41.35,5.59,32.8,Eco,446.0,477.2
316,Tata Nexon EV,40.5,312,38,5.7,Level 2 (AC Public),7.4,2026-03-07T20:45,40.3,77.9,15.23,2.06,35.0,Aggressive,245.1,215.7
317,BYD Atto 3,60.5,521,37,5.55,DC Fast Charger,50.0,2026-03-08T03:16,25.0,90.4,39.57,0.79,34.0,Eco,459.6,491.8
318,Hyundai Kona Electric,39.2,452,33,4.95,DC Fast Charger,50.0,2026-03-08T07:04,28.9,83.1,21.25,0.42,31.0,Normal,380.4,380.4
319,Tata Nexon EV,40.5,312,9,1.35,Level 1 (Home),2.3,2026-03-08T15:57,43.7,94.6,20.61,8.96,39.0,Aggressive,281.0,247.3
320,MG ZS EV,50.3,461,32,4.8,Level 1 (Home),2.3,2026-03-08T22:34,15.1,83.1,34.2,14.87,14.2,Normal,374.2,374.2
321,Hyundai Kona Electric,39.2,452,26,3.9,DC Fast Charger,50.0,2026-03-09T00:42,24.5,86.3,24.23,0.48,28.4,Eco,381.4,408.1
322,Hyundai Kona Electric,39.2,452,47,7.05,DC Fast Charger,50.0,2026-03-09T05:49,42.8,84.2,16.23,0.32,40.2,Eco,375.2,401.5
323,Tesla Model 3,57.5,513,28,4.2,DC Fast Charger,50.0,2026-03-09T07:34,33.2,84.0,29.21,0.58,7.3,Eco,417.2,446.4
324,Tesla Model 3,57.5,513,22,3.3,Level 2 (AC Public),7.4,2026-03-09T15:10,21.3,82.1,34.96,4.72,25.3,Normal,430.7,430.7
325,Tata Nexon EV,40.5,312,29,4.35,Level 1 (Home),2.3,2026-03-09T23:19,13.5,94.6,32.85,14.28,22.0,Eco,302.0,323.1
326,Tesla Model 3,57.5,513,6,0.9,Level 1 (Home),2.3,2026-03-10T03:58,44.8,97.7,30.42,13.23,37.6,Normal,498.8,498.8
327,Hyundai Kona Electric,39.2,452,47,7.05,Level 1 (Home),2.3,2026-03-10T10:13,23.0,97.6,29.24,12.71,11.1,Normal,437.1,437.1
328,MG ZS EV,50.3,461,38,5.7,Level 2 (AC Public),7.4,2026-03-10T16:48,32.9,92.6,30.03,4.06,5.0,Eco,411.0,439.8
329,Tesla Model 3,57.5,513,9,1.35,Level 1 (Home),2.3,2026-03-10T19:37,10.3,83.6,42.15,18.33,9.5,Aggressive,410.9,361.6
330,MG ZS EV,50.3,461,9,1.35,Level 2 (AC Public),7.4,2026-03-11T00:26,13.1,95.1,41.25,5.57,8.8,Normal,431.1,431.1
331,MG ZS EV,50.3,461,11,1.65,DC Fast Charger,50.0,2026-03-11T04:30,44.8,78.6,17.0,0.34,24.6,Aggressive,373.4,328.6
332,MG ZS EV,50.3,461,6,0.9,DC Fast Charger,50.0,2026-03-11T09:01,36.2,98.0,31.09,0.62,27.8,Eco,453.3,485.0
333,MG ZS EV,50.3,461,16,2.4,Level 1 (Home),2.3,2026-03-11T17:12,30.6,84.6,27.16,11.81,40.6,Eco,384.4,411.3
334,Tata Nexon EV,40.5,312,2,0.3,Level 1 (Home),2.3,2026-03-11T20:25,29.4,90.0,24.54,10.67,27.5,Aggressive,276.2,243.1
335,Hyundai Kona Electric,39.2,452,16,2.4,Level 1 (Home),2.3,2026-03-12T04:11,28.1,87.7,23.36,10.16,32.7,Eco,400.5,428.5
336,Tata Nexon EV,40.5,312,21,3.15,Level 1 (Home),2.3,2026-03-12T09:09,27.5,89.8,25.23,10.97,24.5,Normal,272.4,272.4
337,BYD Atto 3,60.5,521,2,0.3,Level 2 (AC Public),7.4,2026-03-12T11:12,22.8,92.1,41.93,5.67,33.2,Eco,465.5,498.1
338,Tata Nexon EV,40.5,312,41,6.15,Level 2 (AC Public),7.4,2026-03-12T16:54,17.6,98.1,32.6,4.41,40.1,Normal,300.6,300.6
339,Tesla Model 3,57.5,513,6,0.9,Level 2 (AC Public),7.4,2026-03-12T23:36,34.6,77.1,24.44,3.3,24.9,Normal,392.8,392.8
340,BYD Atto 3,60.5,521,44,6.6,Level 1 (Home),2.3,2026-03-13T03:05,44.1,78.9,21.05,9.15,17.1,Aggressive,408.9,359.8
341,Hyundai Kona Electric,39.2,452,8,1.2,DC Fast Charger,50.0,2026-03-13T09:14,25.3,98.8,28.81,0.58,13.8,Normal,451.3,451.3
